"","country","year","series","value"
"58","Anguilla",2010,"Tourism expenditure (millions of US dollars)",99
"59","Anguilla",2016,"Tourism expenditure (millions of US dollars)",136
"60","Anguilla",2017,"Tourism expenditure (millions of US dollars)",141
"61","Anguilla",2018,"Tourism expenditure (millions of US dollars)",102
"62","Antigua and Barbuda",1995,"Tourist/visitor arrivals (thousands)",220
"63","Antigua and Barbuda",2005,"Tourist/visitor arrivals (thousands)",245
"64","Antigua and Barbuda",2010,"Tourist/visitor arrivals (thousands)",230
"65","Antigua and Barbuda",2016,"Tourist/visitor arrivals (thousands)",265
"66","Antigua and Barbuda",2017,"Tourist/visitor arrivals (thousands)",247
"67","Antigua and Barbuda",2018,"Tourist/visitor arrivals (thousands)",269
"68","Antigua and Barbuda",1995,"Tourism expenditure (millions of US dollars)",247
"69","Antigua and Barbuda",2005,"Tourism expenditure (millions of US dollars)",309
"70","Antigua and Barbuda",2010,"Tourism expenditure (millions of US dollars)",298
"71","Antigua and Barbuda",2016,"Tourism expenditure (millions of US dollars)",753
"72","Antigua and Barbuda",2017,"Tourism expenditure (millions of US dollars)",737
"73","Antigua and Barbuda",2018,"Tourism expenditure (millions of US dollars)",881
"74","Argentina",1995,"Tourist/visitor arrivals (thousands)",2289
"75","Argentina",2005,"Tourist/visitor arrivals (thousands)",3823
"76","Argentina",2010,"Tourist/visitor arrivals (thousands)",6800
"77","Argentina",2016,"Tourist/visitor arrivals (thousands)",6668
"78","Argentina",2017,"Tourist/visitor arrivals (thousands)",6711
"79","Argentina",2018,"Tourist/visitor arrivals (thousands)",6942
"80","Argentina",1995,"Tourism expenditure (millions of US dollars)",2550
"81","Argentina",2005,"Tourism expenditure (millions of US dollars)",3209
"82","Argentina",2010,"Tourism expenditure (millions of US dollars)",5605
"83","Argentina",2016,"Tourism expenditure (millions of US dollars)",5466
"84","Argentina",2017,"Tourism expenditure (millions of US dollars)",5835
"85","Argentina",2018,"Tourism expenditure (millions of US dollars)",5999
"86","Armenia",1995,"Tourist/visitor arrivals (thousands)",12
"87","Armenia",2005,"Tourist/visitor arrivals (thousands)",319
"88","Armenia",2010,"Tourist/visitor arrivals (thousands)",684
"89","Armenia",2016,"Tourist/visitor arrivals (thousands)",1260
"90","Armenia",2017,"Tourist/visitor arrivals (thousands)",1495
"91","Armenia",2018,"Tourist/visitor arrivals (thousands)",1652
"92","Armenia",1995,"Tourism expenditure (millions of US dollars)",14
"93","Armenia",2005,"Tourism expenditure (millions of US dollars)",243
"94","Armenia",2010,"Tourism expenditure (millions of US dollars)",694
"95","Armenia",2016,"Tourism expenditure (millions of US dollars)",988
"96","Armenia",2017,"Tourism expenditure (millions of US dollars)",1140
"97","Armenia",2018,"Tourism expenditure (millions of US dollars)",1237
"98","Aruba",1995,"Tourist/visitor arrivals (thousands)",619
"99","Aruba",2005,"Tourist/visitor arrivals (thousands)",733
"100","Aruba",2010,"Tourist/visitor arrivals (thousands)",824
"101","Aruba",2016,"Tourist/visitor arrivals (thousands)",1102
"102","Aruba",2017,"Tourist/visitor arrivals (thousands)",1070.5
"103","Aruba",2018,"Tourist/visitor arrivals (thousands)",1082
"104","Aruba",1995,"Tourism expenditure (millions of US dollars)",554
"105","Aruba",2005,"Tourism expenditure (millions of US dollars)",1097
"106","Aruba",2010,"Tourism expenditure (millions of US dollars)",1254
"107","Aruba",2016,"Tourism expenditure (millions of US dollars)",1764
"108","Aruba",2017,"Tourism expenditure (millions of US dollars)",1857
"109","Aruba",2018,"Tourism expenditure (millions of US dollars)",2024
"110","Australia",1995,"Tourist/visitor arrivals (thousands)",3726
"111","Australia",2005,"Tourist/visitor arrivals (thousands)",5499
"112","Australia",2010,"Tourist/visitor arrivals (thousands)",5790
"113","Australia",2016,"Tourist/visitor arrivals (thousands)",8269
"114","Australia",2017,"Tourist/visitor arrivals (thousands)",8815
"115","Australia",2018,"Tourist/visitor arrivals (thousands)",9246
"116","Australia",1995,"Tourism expenditure (millions of US dollars)",10370
"117","Australia",2005,"Tourism expenditure (millions of US dollars)",19719
"118","Australia",2010,"Tourism expenditure (millions of US dollars)",31064
"119","Australia",2016,"Tourism expenditure (millions of US dollars)",39059
"120","Australia",2017,"Tourism expenditure (millions of US dollars)",43975
"121","Australia",2018,"Tourism expenditure (millions of US dollars)",47327
"122","Austria",1995,"Tourist/visitor arrivals (thousands)",17173
"123","Austria",2005,"Tourist/visitor arrivals (thousands)",19952
"124","Austria",2010,"Tourist/visitor arrivals (thousands)",22004
"125","Austria",2016,"Tourist/visitor arrivals (thousands)",28121
"126","Austria",2017,"Tourist/visitor arrivals (thousands)",29460
"127","Austria",2018,"Tourist/visitor arrivals (thousands)",30816
"128","Austria",1995,"Tourism expenditure (millions of US dollars)",13435
"129","Austria",2005,"Tourism expenditure (millions of US dollars)",16243
"130","Austria",2010,"Tourism expenditure (millions of US dollars)",18751
"131","Austria",2016,"Tourism expenditure (millions of US dollars)",19244
"132","Austria",2017,"Tourism expenditure (millions of US dollars)",20333
"133","Austria",2018,"Tourism expenditure (millions of US dollars)",23233
"134","Azerbaijan",2005,"Tourist/visitor arrivals (thousands)",693
"135","Azerbaijan",2010,"Tourist/visitor arrivals (thousands)",1280
"136","Azerbaijan",2016,"Tourist/visitor arrivals (thousands)",2044
"137","Azerbaijan",2017,"Tourist/visitor arrivals (thousands)",2454
"138","Azerbaijan",2018,"Tourist/visitor arrivals (thousands)",2633
"139","Azerbaijan",1995,"Tourism expenditure (millions of US dollars)",87
"140","Azerbaijan",2005,"Tourism expenditure (millions of US dollars)",100
"141","Azerbaijan",2010,"Tourism expenditure (millions of US dollars)",792
"142","Azerbaijan",2016,"Tourism expenditure (millions of US dollars)",2855
"143","Azerbaijan",2017,"Tourism expenditure (millions of US dollars)",3214
"144","Azerbaijan",2018,"Tourism expenditure (millions of US dollars)",2830
"145","Bahamas",1995,"Tourist/visitor arrivals (thousands)",1598
"146","Bahamas",2005,"Tourist/visitor arrivals (thousands)",1608
"147","Bahamas",2010,"Tourist/visitor arrivals (thousands)",1370
"148","Bahamas",2016,"Tourist/visitor arrivals (thousands)",1500
"149","Bahamas",2017,"Tourist/visitor arrivals (thousands)",1442
"150","Bahamas",2018,"Tourist/visitor arrivals (thousands)",1633
"151","Bahamas",1995,"Tourism expenditure (millions of US dollars)",1356
"152","Bahamas",2005,"Tourism expenditure (millions of US dollars)",2081
"153","Bahamas",2010,"Tourism expenditure (millions of US dollars)",2159
"154","Bahamas",2016,"Tourism expenditure (millions of US dollars)",3091
"155","Bahamas",2017,"Tourism expenditure (millions of US dollars)",3017
"156","Bahamas",2018,"Tourism expenditure (millions of US dollars)",3383
"157","Bahrain",1995,"Tourist/visitor arrivals (thousands)",2311
"158","Bahrain",2005,"Tourist/visitor arrivals (thousands)",6313
"159","Bahrain",2010,"Tourist/visitor arrivals (thousands)",11952
"160","Bahrain",2016,"Tourist/visitor arrivals (thousands)",10158
"161","Bahrain",2017,"Tourist/visitor arrivals (thousands)",11374
"162","Bahrain",2018,"Tourist/visitor arrivals (thousands)",12045
"163","Bahrain",1995,"Tourism expenditure (millions of US dollars)",593
"164","Bahrain",2005,"Tourism expenditure (millions of US dollars)",1603
"165","Bahrain",2010,"Tourism expenditure (millions of US dollars)",2163
"166","Bahrain",2016,"Tourism expenditure (millions of US dollars)",4021
"167","Bahrain",2017,"Tourism expenditure (millions of US dollars)",4380
"168","Bahrain",2018,"Tourism expenditure (millions of US dollars)",3834
"169","Bangladesh",1995,"Tourist/visitor arrivals (thousands)",156
"170","Bangladesh",2005,"Tourist/visitor arrivals (thousands)",208
"171","Bangladesh",2010,"Tourist/visitor arrivals (thousands)",303
"172","Bangladesh",2016,"Tourist/visitor arrivals (thousands)",830
"173","Bangladesh",2017,"Tourist/visitor arrivals (thousands)",1026
"174","Bangladesh",2005,"Tourism expenditure (millions of US dollars)",82
"175","Bangladesh",2010,"Tourism expenditure (millions of US dollars)",103
"176","Bangladesh",2016,"Tourism expenditure (millions of US dollars)",214.3
"177","Bangladesh",2017,"Tourism expenditure (millions of US dollars)",348
"178","Bangladesh",2018,"Tourism expenditure (millions of US dollars)",357
"179","Barbados",1995,"Tourist/visitor arrivals (thousands)",442
"180","Barbados",2005,"Tourist/visitor arrivals (thousands)",548
"181","Barbados",2010,"Tourist/visitor arrivals (thousands)",532
"182","Barbados",2016,"Tourist/visitor arrivals (thousands)",632
"183","Barbados",2017,"Tourist/visitor arrivals (thousands)",664
"184","Barbados",2018,"Tourist/visitor arrivals (thousands)",680
"185","Barbados",1995,"Tourism expenditure (millions of US dollars)",630
"186","Barbados",2005,"Tourism expenditure (millions of US dollars)",1081
"187","Barbados",2010,"Tourism expenditure (millions of US dollars)",1074
"188","Belarus",1995,"Tourist/visitor arrivals (thousands)",160.6
"189","Belarus",2005,"Tourist/visitor arrivals (thousands)",91
"190","Belarus",2010,"Tourist/visitor arrivals (thousands)",119.3
"191","Belarus",2016,"Tourist/visitor arrivals (thousands)",10935.4
"192","Belarus",2017,"Tourist/visitor arrivals (thousands)",11060.2
"193","Belarus",2018,"Tourist/visitor arrivals (thousands)",11501.6
"194","Belarus",1995,"Tourism expenditure (millions of US dollars)",28
"195","Belarus",2005,"Tourism expenditure (millions of US dollars)",346
"196","Belarus",2010,"Tourism expenditure (millions of US dollars)",665
"197","Belarus",2016,"Tourism expenditure (millions of US dollars)",1019
"198","Belarus",2017,"Tourism expenditure (millions of US dollars)",1124
"199","Belarus",2018,"Tourism expenditure (millions of US dollars)",1221
"200","Belgium",1995,"Tourist/visitor arrivals (thousands)",5560
"201","Belgium",2005,"Tourist/visitor arrivals (thousands)",6747
"202","Belgium",2010,"Tourist/visitor arrivals (thousands)",7186
"203","Belgium",2016,"Tourist/visitor arrivals (thousands)",7481
"204","Belgium",2017,"Tourist/visitor arrivals (thousands)",8385
"205","Belgium",2018,"Tourist/visitor arrivals (thousands)",9119
"206","Belgium",2005,"Tourism expenditure (millions of US dollars)",10881
"207","Belgium",2010,"Tourism expenditure (millions of US dollars)",12680
"208","Belgium",2016,"Tourism expenditure (millions of US dollars)",8784
"209","Belgium",2017,"Tourism expenditure (millions of US dollars)",9636
"210","Belgium",2018,"Tourism expenditure (millions of US dollars)",10381
"211","Belize",1995,"Tourist/visitor arrivals (thousands)",131
"212","Belize",2005,"Tourist/visitor arrivals (thousands)",237
"213","Belize",2010,"Tourist/visitor arrivals (thousands)",242
"214","Belize",2016,"Tourist/visitor arrivals (thousands)",386
"215","Belize",2017,"Tourist/visitor arrivals (thousands)",427
"216","Belize",2018,"Tourist/visitor arrivals (thousands)",489
"217","Belize",1995,"Tourism expenditure (millions of US dollars)",78
"218","Belize",2005,"Tourism expenditure (millions of US dollars)",214
"219","Belize",2010,"Tourism expenditure (millions of US dollars)",264
"220","Belize",2016,"Tourism expenditure (millions of US dollars)",391
"221","Belize",2017,"Tourism expenditure (millions of US dollars)",427
"222","Belize",2018,"Tourism expenditure (millions of US dollars)",487
"223","Benin",1995,"Tourist/visitor arrivals (thousands)",138
"224","Benin",2005,"Tourist/visitor arrivals (thousands)",176
"225","Benin",2010,"Tourist/visitor arrivals (thousands)",199
"226","Benin",2016,"Tourist/visitor arrivals (thousands)",267
"227","Benin",2017,"Tourist/visitor arrivals (thousands)",281
"228","Benin",2018,"Tourist/visitor arrivals (thousands)",295
"229","Benin",2005,"Tourism expenditure (millions of US dollars)",107.7
"230","Benin",2010,"Tourism expenditure (millions of US dollars)",149.4
"231","Benin",2016,"Tourism expenditure (millions of US dollars)",129
"232","Benin",2017,"Tourism expenditure (millions of US dollars)",160
"233","Bermuda",1995,"Tourist/visitor arrivals (thousands)",387
"234","Bermuda",2005,"Tourist/visitor arrivals (thousands)",270
"235","Bermuda",2010,"Tourist/visitor arrivals (thousands)",232
"236","Bermuda",2016,"Tourist/visitor arrivals (thousands)",244
"237","Bermuda",2017,"Tourist/visitor arrivals (thousands)",270
"238","Bermuda",2018,"Tourist/visitor arrivals (thousands)",282
"239","Bermuda",1995,"Tourism expenditure (millions of US dollars)",488
"240","Bermuda",2005,"Tourism expenditure (millions of US dollars)",429
"241","Bermuda",2010,"Tourism expenditure (millions of US dollars)",442
"242","Bermuda",2016,"Tourism expenditure (millions of US dollars)",441
"243","Bermuda",2017,"Tourism expenditure (millions of US dollars)",513
"244","Bermuda",2018,"Tourism expenditure (millions of US dollars)",583
"245","Bhutan",1995,"Tourist/visitor arrivals (thousands)",4.8
"246","Bhutan",2005,"Tourist/visitor arrivals (thousands)",13.6
"247","Bhutan",2010,"Tourist/visitor arrivals (thousands)",41
"248","Bhutan",2016,"Tourist/visitor arrivals (thousands)",210
"249","Bhutan",2017,"Tourist/visitor arrivals (thousands)",255
"250","Bhutan",2018,"Tourist/visitor arrivals (thousands)",274
"251","Bhutan",1995,"Tourism expenditure (millions of US dollars)",5
"252","Bhutan",2005,"Tourism expenditure (millions of US dollars)",19
"253","Bhutan",2010,"Tourism expenditure (millions of US dollars)",64
"254","Bhutan",2016,"Tourism expenditure (millions of US dollars)",139
"255","Bhutan",2017,"Tourism expenditure (millions of US dollars)",153
"256","Bhutan",2018,"Tourism expenditure (millions of US dollars)",121
"257","Bolivia (Plurin. State of)",1995,"Tourist/visitor arrivals (thousands)",284
"258","Bolivia (Plurin. State of)",2005,"Tourist/visitor arrivals (thousands)",524
"259","Bolivia (Plurin. State of)",2010,"Tourist/visitor arrivals (thousands)",679
"260","Bolivia (Plurin. State of)",2016,"Tourist/visitor arrivals (thousands)",961
"261","Bolivia (Plurin. State of)",2017,"Tourist/visitor arrivals (thousands)",1109
"262","Bolivia (Plurin. State of)",2018,"Tourist/visitor arrivals (thousands)",1142
"263","Bolivia (Plurin. State of)",1995,"Tourism expenditure (millions of US dollars)",92
"264","Bolivia (Plurin. State of)",2005,"Tourism expenditure (millions of US dollars)",345
"265","Bolivia (Plurin. State of)",2010,"Tourism expenditure (millions of US dollars)",339
"266","Bolivia (Plurin. State of)",2016,"Tourism expenditure (millions of US dollars)",827
"267","Bolivia (Plurin. State of)",2017,"Tourism expenditure (millions of US dollars)",912
"268","Bolivia (Plurin. State of)",2018,"Tourism expenditure (millions of US dollars)",970
"269","Bonaire",1995,"Tourist/visitor arrivals (thousands)",59
"270","Bonaire",2005,"Tourist/visitor arrivals (thousands)",63
"271","Bonaire",2010,"Tourist/visitor arrivals (thousands)",71
"272","Bonaire",1995,"Tourism expenditure (millions of US dollars)",37
"273","Bonaire",2005,"Tourism expenditure (millions of US dollars)",87
"274","Bosnia and Herzegovina",2005,"Tourist/visitor arrivals (thousands)",217
"275","Bosnia and Herzegovina",2010,"Tourist/visitor arrivals (thousands)",365
"276","Bosnia and Herzegovina",2016,"Tourist/visitor arrivals (thousands)",778
"277","Bosnia and Herzegovina",2017,"Tourist/visitor arrivals (thousands)",923
"278","Bosnia and Herzegovina",2018,"Tourist/visitor arrivals (thousands)",1053
"279","Bosnia and Herzegovina",2005,"Tourism expenditure (millions of US dollars)",557
"280","Bosnia and Herzegovina",2010,"Tourism expenditure (millions of US dollars)",662
"281","Bosnia and Herzegovina",2016,"Tourism expenditure (millions of US dollars)",876
"282","Bosnia and Herzegovina",2017,"Tourism expenditure (millions of US dollars)",985
"283","Bosnia and Herzegovina",2018,"Tourism expenditure (millions of US dollars)",1081
"284","Botswana",1995,"Tourist/visitor arrivals (thousands)",521
"285","Botswana",2005,"Tourist/visitor arrivals (thousands)",1474
"286","Botswana",2010,"Tourist/visitor arrivals (thousands)",1973
"287","Botswana",2016,"Tourist/visitor arrivals (thousands)",1574
"288","Botswana",2017,"Tourist/visitor arrivals (thousands)",1623
"289","Botswana",1995,"Tourism expenditure (millions of US dollars)",176
"290","Botswana",2005,"Tourism expenditure (millions of US dollars)",563
"291","Botswana",2010,"Tourism expenditure (millions of US dollars)",440.1
"292","Botswana",2016,"Tourism expenditure (millions of US dollars)",505
"293","Botswana",2017,"Tourism expenditure (millions of US dollars)",541.6
"294","Botswana",2018,"Tourism expenditure (millions of US dollars)",575.3
"295","Brazil",1995,"Tourist/visitor arrivals (thousands)",1991
"296","Brazil",2005,"Tourist/visitor arrivals (thousands)",5358
"297","Brazil",2010,"Tourist/visitor arrivals (thousands)",5161
"298","Brazil",2016,"Tourist/visitor arrivals (thousands)",6547
"299","Brazil",2017,"Tourist/visitor arrivals (thousands)",6589
"300","Brazil",2018,"Tourist/visitor arrivals (thousands)",6621
"301","Brazil",1995,"Tourism expenditure (millions of US dollars)",1085
"302","Brazil",2005,"Tourism expenditure (millions of US dollars)",4168
"303","Brazil",2010,"Tourism expenditure (millions of US dollars)",5522
"304","Brazil",2016,"Tourism expenditure (millions of US dollars)",6613
"305","Brazil",2017,"Tourism expenditure (millions of US dollars)",6175
"306","Brazil",2018,"Tourism expenditure (millions of US dollars)",6324
"307","British Virgin Islands",1995,"Tourist/visitor arrivals (thousands)",219
"308","British Virgin Islands",2005,"Tourist/visitor arrivals (thousands)",337
"309","British Virgin Islands",2010,"Tourist/visitor arrivals (thousands)",330
"310","British Virgin Islands",2016,"Tourist/visitor arrivals (thousands)",408
"311","British Virgin Islands",2017,"Tourist/visitor arrivals (thousands)",335
"312","British Virgin Islands",2018,"Tourist/visitor arrivals (thousands)",192
"313","British Virgin Islands",1995,"Tourism expenditure (millions of US dollars)",211
"314","British Virgin Islands",2005,"Tourism expenditure (millions of US dollars)",412
"315","British Virgin Islands",2010,"Tourism expenditure (millions of US dollars)",389
"316","Brunei Darussalam",2005,"Tourist/visitor arrivals (thousands)",126
"317","Brunei Darussalam",2010,"Tourist/visitor arrivals (thousands)",214
"318","Brunei Darussalam",2016,"Tourist/visitor arrivals (thousands)",219
"319","Brunei Darussalam",2017,"Tourist/visitor arrivals (thousands)",259
"320","Brunei Darussalam",2018,"Tourist/visitor arrivals (thousands)",278
"321","Brunei Darussalam",2005,"Tourism expenditure (millions of US dollars)",191
"322","Brunei Darussalam",2016,"Tourism expenditure (millions of US dollars)",144
"323","Brunei Darussalam",2017,"Tourism expenditure (millions of US dollars)",177
"324","Brunei Darussalam",2018,"Tourism expenditure (millions of US dollars)",190
"325","Bulgaria",1995,"Tourist/visitor arrivals (thousands)",3466
"326","Bulgaria",2005,"Tourist/visitor arrivals (thousands)",4837
"327","Bulgaria",2010,"Tourist/visitor arrivals (thousands)",6047
"328","Bulgaria",2016,"Tourist/visitor arrivals (thousands)",8252
"329","Bulgaria",2017,"Tourist/visitor arrivals (thousands)",8883
"330","Bulgaria",2018,"Tourist/visitor arrivals (thousands)",9273
"331","Bulgaria",1995,"Tourism expenditure (millions of US dollars)",662
"332","Bulgaria",2005,"Tourism expenditure (millions of US dollars)",3063
"333","Bulgaria",2010,"Tourism expenditure (millions of US dollars)",3807
"334","Bulgaria",2016,"Tourism expenditure (millions of US dollars)",4164
"335","Bulgaria",2017,"Tourism expenditure (millions of US dollars)",4678
"336","Bulgaria",2018,"Tourism expenditure (millions of US dollars)",5072
"337","Burkina Faso",1995,"Tourist/visitor arrivals (thousands)",124
"338","Burkina Faso",2005,"Tourist/visitor arrivals (thousands)",245
"339","Burkina Faso",2010,"Tourist/visitor arrivals (thousands)",274
"340","Burkina Faso",2016,"Tourist/visitor arrivals (thousands)",152
"341","Burkina Faso",2017,"Tourist/visitor arrivals (thousands)",143
"342","Burkina Faso",2018,"Tourist/visitor arrivals (thousands)",144
"343","Burkina Faso",2005,"Tourism expenditure (millions of US dollars)",46
"344","Burkina Faso",2010,"Tourism expenditure (millions of US dollars)",105
"345","Burkina Faso",2016,"Tourism expenditure (millions of US dollars)",172
"346","Burkina Faso",2017,"Tourism expenditure (millions of US dollars)",172
"347","Burundi",1995,"Tourist/visitor arrivals (thousands)",34
"348","Burundi",2005,"Tourist/visitor arrivals (thousands)",148
"349","Burundi",2010,"Tourist/visitor arrivals (thousands)",142
"350","Burundi",2016,"Tourist/visitor arrivals (thousands)",187
"351","Burundi",2017,"Tourist/visitor arrivals (thousands)",299
"352","Burundi",1995,"Tourism expenditure (millions of US dollars)",2.425
"353","Burundi",2005,"Tourism expenditure (millions of US dollars)",1.9
"354","Burundi",2010,"Tourism expenditure (millions of US dollars)",2.1
"355","Cabo Verde",1995,"Tourist/visitor arrivals (thousands)",28
"356","Cabo Verde",2005,"Tourist/visitor arrivals (thousands)",198
"357","Cabo Verde",2010,"Tourist/visitor arrivals (thousands)",336
"358","Cabo Verde",2016,"Tourist/visitor arrivals (thousands)",598
"359","Cabo Verde",2017,"Tourist/visitor arrivals (thousands)",668
"360","Cabo Verde",2018,"Tourist/visitor arrivals (thousands)",710
"361","Cabo Verde",1995,"Tourism expenditure (millions of US dollars)",29
"362","Cabo Verde",2005,"Tourism expenditure (millions of US dollars)",177
"363","Cabo Verde",2010,"Tourism expenditure (millions of US dollars)",387
"364","Cabo Verde",2016,"Tourism expenditure (millions of US dollars)",397
"365","Cabo Verde",2017,"Tourism expenditure (millions of US dollars)",450
"366","Cabo Verde",2018,"Tourism expenditure (millions of US dollars)",524
"367","Cambodia",1995,"Tourist/visitor arrivals (thousands)",220
"368","Cambodia",2005,"Tourist/visitor arrivals (thousands)",1422
"369","Cambodia",2010,"Tourist/visitor arrivals (thousands)",2508
"370","Cambodia",2016,"Tourist/visitor arrivals (thousands)",5012
"371","Cambodia",2017,"Tourist/visitor arrivals (thousands)",5602
"372","Cambodia",2018,"Tourist/visitor arrivals (thousands)",6201
"373","Cambodia",1995,"Tourism expenditure (millions of US dollars)",71
"374","Cambodia",2005,"Tourism expenditure (millions of US dollars)",929
"375","Cambodia",2010,"Tourism expenditure (millions of US dollars)",1671
"376","Cambodia",2016,"Tourism expenditure (millions of US dollars)",3523
"377","Cambodia",2017,"Tourism expenditure (millions of US dollars)",4024
"378","Cambodia",2018,"Tourism expenditure (millions of US dollars)",4832
"379","Cameroon",2010,"Tourist/visitor arrivals (thousands)",573
"380","Cameroon",2016,"Tourist/visitor arrivals (thousands)",994
"381","Cameroon",2017,"Tourist/visitor arrivals (thousands)",1081
"382","Cameroon",1995,"Tourism expenditure (millions of US dollars)",75
"383","Cameroon",2005,"Tourism expenditure (millions of US dollars)",229
"384","Cameroon",2010,"Tourism expenditure (millions of US dollars)",171
"385","Cameroon",2016,"Tourism expenditure (millions of US dollars)",508
"386","Cameroon",2017,"Tourism expenditure (millions of US dollars)",543
"387","Cameroon",2018,"Tourism expenditure (millions of US dollars)",633
"388","Canada",1995,"Tourist/visitor arrivals (thousands)",16932
"389","Canada",2005,"Tourist/visitor arrivals (thousands)",18771
"390","Canada",2010,"Tourist/visitor arrivals (thousands)",16219
"391","Canada",2016,"Tourist/visitor arrivals (thousands)",19971
"392","Canada",2017,"Tourist/visitor arrivals (thousands)",20883
"393","Canada",2018,"Tourist/visitor arrivals (thousands)",21134
"394","Canada",1995,"Tourism expenditure (millions of US dollars)",9176
"395","Canada",2005,"Tourism expenditure (millions of US dollars)",15887
"396","Canada",2010,"Tourism expenditure (millions of US dollars)",18439
"397","Cayman Islands",1995,"Tourist/visitor arrivals (thousands)",361
"398","Cayman Islands",2005,"Tourist/visitor arrivals (thousands)",168
"399","Cayman Islands",2010,"Tourist/visitor arrivals (thousands)",288
"400","Cayman Islands",2016,"Tourist/visitor arrivals (thousands)",385
"401","Cayman Islands",2017,"Tourist/visitor arrivals (thousands)",418
"402","Cayman Islands",2018,"Tourist/visitor arrivals (thousands)",463
"403","Cayman Islands",1995,"Tourism expenditure (millions of US dollars)",394
"404","Cayman Islands",2005,"Tourism expenditure (millions of US dollars)",356
"405","Cayman Islands",2010,"Tourism expenditure (millions of US dollars)",465
"406","Cayman Islands",2016,"Tourism expenditure (millions of US dollars)",696
"407","Cayman Islands",2017,"Tourism expenditure (millions of US dollars)",782
"408","Cayman Islands",2018,"Tourism expenditure (millions of US dollars)",880
"409","Central African Republic",1995,"Tourist/visitor arrivals (thousands)",26
"410","Central African Republic",2005,"Tourist/visitor arrivals (thousands)",12
"411","Central African Republic",2010,"Tourist/visitor arrivals (thousands)",53.8
"412","Central African Republic",2016,"Tourist/visitor arrivals (thousands)",82
